,Region/s,Bound/s,Year/s,Access Url/s,Variations
41,ARRA-CA_GoldenGate,"[[-13720506, 4498165, -67129, -13585440, 4633231, 67937]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CA_GoldenGate_2010/ept.json'],1
42,ARRA-CA_SanFranCoast,"[[-13694835, 4483742, -61668, -13569237, 4609340, 63930]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CA_SanFranCoast_2010/ept.json'],1
43,ARRA-CO_GrandCo,"[[-11840024, 4792671, -56144, -11722632, 4910063, 61248]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-CO_GrandCo_2010/ept.json'],1
44,ARRA-FL_Charlotte-E,"[[-9084779, 3094427, -8774, -9065857, 3113349, 10148]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-FL_Charlotte-E_2010/ept.json'],1
45,ARRA-FL_Charlotte-W,"[[-9103062, 3096199, -11373, -9078994, 3120267, 12695]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-FL_Charlotte-W_2010/ept.json'],1
46,ARRA-FL_KissimmeeRiver,"[[-9070581, 3171193, -32106, -9005243, 3236531, 33232]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-FL_KissimmeeRiver_2011/ept.json'],1
47,ARRA-FL_LibertyCo,"[[-9503474, 3502055, -40299, -9421760, 3583769, 41415]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-FL_LibertyCo_2010/ept.json'],1
48,ARRA-FL_SuwanneeRiver,"[[-9287698, 3494213, -54354, -9178522, 3603389, 54822]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-FL_SuwanneeRiver_2011/ept.json'],1
49,ARRA-FL_UpperStJohnsRiver,"[[-9052187, 3260141, -43915, -8963359, 3348969, 44913]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-FL_UpperStJohnsRiver_2010/ept.json'],1
50,ARRA-GA_LakeLanier,"[[-9372429, 4041232, -60464, -9249099, 4164562, 62866]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-GA_LakeLanier_2010/ept.json'],1
51,ARRA-IL_LakeCo,"[[-9819590, 5183551, -25383, -9767344, 5235797, 26863]]",['2007'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-IL_LakeCo_2007/ept.json'],1
52,ARRA-IN_Flood,"[[-9854076, 4700309, -207274, -9437696, 5116689, 209106]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-IN_Flood_2010/ept.json'],1
53,ARRA-LA_Coastal-Z15,"[[-10256615, 3323972, -105216, -10045421, 3535166, 105978]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LA_Coastal-Z15_2011/ept.json'],1
54,ARRA-LA_Coastal-Z16,"[[-10051791, 3363098, -86508, -9878065, 3536824, 87218]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LA_Coastal-Z16_2011/ept.json'],1
55,ARRA-LFTNE_ConnecticutZ18,"[[-8207630, 5002650, -35539, -8135274, 5075006, 36817]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LFTNE_ConnecticutZ18_2010/ept.json'],1
56,ARRA-LFTNE_ConnecticutZ19,"[[-8052420, 5056933, -53904, -7945012, 5164341, 53504]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LFTNE_ConnecticutZ19_2011/ept.json'],1
57,ARRA-LFTNE_Massachusetts,"[[-7994982, 5082966, -106293, -7782402, 5295546, 106287]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LFTNE_Massachusetts_2011/ept.json'],1
58,ARRA-LFTNE_NewHampshire,"[[-7957116, 5263348, -52736, -7850314, 5370150, 54066]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LFTNE_NewHampshire_2011/ept.json'],1
59,ARRA-LFTNE_NewYork,"[[-8300763, 4949772, -81587, -8136371, 5114164, 82805]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LFTNE_NewYork_2010/ept.json'],1
60,ARRA-LFTNE_RhodeIsland,"[[-8025923, 5033699, -66235, -7893883, 5165739, 65805]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-LFTNE_RhodeIsland_2011/ept.json'],1
61,ARRA-MI_4SECounties,"[[-9382114, 5117073, -111344, -9158558, 5340629, 112212]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-MI_4SECounties_2010/ept.json'],1
62,ARRA-MI_LowerPeninsula,"[[-9404803, 5382538, -81561, -9239453, 5547888, 83789]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-MI_LowerPeninsula_2010/ept.json'],1
63,ARRA-MI_TriCounty,"[[-9474180, 5221561, -54840, -9363550, 5332191, 55790]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-MI_TriCounty_2010/ept.json'],1
64,ARRA-MO_StoneCo,"[[-10429484, 4387734, -24482, -10378058, 4439160, 26944]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-MO_StoneCo_2010/ept.json'],1
65,ARRA-NE_PlatteRiver,"[[-11583929, 5118323, -32261, -11517235, 5185017, 34433]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-NE_PlatteRiver_2010/ept.json'],1
66,ARRA-NJ_3Counties,"[[-8361710, 4763035, -69405, -8222262, 4902483, 70043]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-NJ_3Counties_2010/ept.json'],1
67,ARRA-NRCS_Illinois,"[[-10002136, 4721425, -17332, -9965780, 4757781, 19024]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-NRCS_Illinois_2010/ept.json'],1
68,ARRA-NRCS_Kentucky,"[[-9747480, 4405183, -15559, -9715976, 4436687, 15945]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-NRCS_Kentucky_2010/ept.json'],1
69,ARRA-OR_SandyRiver,"[[-13628527, 5678143, -17801, -13592347, 5714323, 18379]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-OR_SandyRiver_2010/ept.json'],1
70,ARRA-SC_AllendaleCo,"[[-9085925, 3858960, -29890, -9025957, 3918928, 30078]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-SC_AllendaleCo_2010/ept.json'],1
71,ARRA-SC_BambergCo,"[[-9047051, 3897147, -29880, -8988537, 3955661, 28634]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-SC_BambergCo_2010/ept.json'],1
72,ARRA-SC_HamptonCo,"[[-9065706, 3832721, -34447, -8996934, 3901493, 34325]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-SC_HamptonCo_2010/ept.json'],1
73,ARRA-SC_LeeCo,"[[-8960936, 4021649, -27840, -8903654, 4078931, 29442]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-SC_LeeCo_2010/ept.json'],1
74,ARRA-TN_SmokyMtns,"[[-9354666, 4201978, -51504, -9250230, 4306414, 52932]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-TN_SmokyMtns_2011/ept.json'],1
75,ARRA-TX_CalhounCo,"[[-10798667, 3257020, -42179, -10714135, 3341552, 42353]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-TX_CalhounCo_2010/ept.json'],1
76,ARRA-TX_HidalgoCo,"[[-10971530, 3011182, -39754, -10892232, 3090480, 39544]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-TX_HidalgoCo_2010/ept.json'],1
77,ARRA-TX_NuecesCo,"[[-10903020, 3170733, -50027, -10802720, 3271033, 50273]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-TX_NuecesCo_2010/ept.json'],1
78,ARRA-TX_WilacyCo,"[[-10910655, 3016365, -43841, -10822833, 3104187, 43981]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-TX_WilacyCo_2010/ept.json'],1
79,ARRA-WI_BrownCo,"[[-9830659, 5502714, -33215, -9762415, 5570958, 35029]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/ARRA-WI_BrownCo_2010/ept.json'],1
80,AR_BuffaloRiver,"[[-10380555, 4299615, -13777, -10352711, 4327459, 14067], [-10402037, 4247358, -58479, -10282765, 4366630, 60793]]","['2009', '2010']","['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_BuffaloRiver_2009/ept.json', 'https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_BuffaloRiver_2010/ept.json']",2
81,AR_Dardanelle,"[[-10446675, 4195165, -18653, -10406949, 4234891, 21073]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_Dardanelle_2011/ept.json'],1
82,AR_FEMA-ChicotDesha,"[[-10264448, 3894552, -82073, -10098570, 4060430, 83805]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_FEMA-ChicotDesha_2011/ept.json'],1
83,AR_FEMA-VI-BayouMeto,"[[-10272804, 4077758, -46952, -10176936, 4173626, 48916]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_FEMA-VI-BayouMeto_2012/ept.json'],1
84,AR_LowerStFrancisRiver-FEMA,"[[-10121457, 4252519, -60448, -9999223, 4374753, 61786]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_LowerStFrancisRiver-FEMA_2012/ept.json'],1
85,AR_McKinneyPosten,"[[-10445617, 3961795, -7139, -10430075, 3977337, 8403]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_McKinneyPosten_2011/ept.json'],1
86,AR_PAgis,"[[-10326515, 4093951, -38369, -10249255, 4171211, 38891]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_PAgis_2010/ept.json'],1
87,AR_UpperBlackWatershed-FEMA,"[[-10104451, 4334309, -16810, -10069527, 4369233, 18114]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_UpperBlackWatershed-FEMA_2012/ept.json'],1
88,AR_UpperWhiteVillage-FEMA,"[[-10182080, 4218633, -18652, -10144234, 4256479, 19194]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AR_UpperWhiteVillage-FEMA_2012/ept.json'],1
89,AZ_Black_Mesa_CoalMine,"[[-12305452, 4350695, -15455, -12270078, 4386069, 19919]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_Black_Mesa_CoalMine_2012/ept.json'],1
90,AZ_BrawleyRillito_TL,"[[-12468418, 3703535, -53762, -12358244, 3813709, 56412]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_BrawleyRillito_TL_2018/ept.json'],1
91,AZ_Cochise-FEMA,"[[-12212387, 3666878, -11969, -12185605, 3693660, 14813]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_Cochise-FEMA_2012/ept.json'],1
92,AZ_CochiseCounty_2,"[[-12293471, 3810968, -36446, -12217029, 3887410, 39996]]",['2020'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_CochiseCounty_2_2020/ept.json'],1
93,AZ_Coconino_B1,"[[-12493181, 4097838, -66152, -12355423, 4235596, 71606]]",['2019'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_Coconino_B1_2019/ept.json'],1
94,AZ_FEMA_Central,"[[-12422611, 3942940, -6670, -12407837, 3957714, 8104]]",['2017'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_FEMA_Central_2017/ept.json'],1
95,AZ_FEMA_East,"[[-12530094, 3675988, -206520, -12116116, 4089966, 207458]]",['2017'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_FEMA_East_2017/ept.json'],1
96,AZ_NavajoCorridor_1,"[[-12329682, 4123300, -36710, -12253164, 4199818, 39808]]",['2020'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_NavajoCorridor_1_2020/ept.json'],1
97,AZ_NorthKaibabNF_B1,"[[-12544006, 4336736, -45252, -12449730, 4431012, 49024]]",['2019'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_NorthKaibabNF_B1_2019/ept.json'],1
98,AZ_OrganPipeCactusNM_1,"[[-12588909, 3737623, -26111, -12535161, 3791371, 27637]]",['2020'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_OrganPipeCactusNM_1_2020/ept.json'],1
99,AZ_SanCarlosReservation,"[[-12233799, 3939340, -6445, -12216767, 3956372, 10587]]",['2013'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_SanCarlosReservation_2013/ept.json'],1
100,AZ_Tucson,"[[-12417461, 3722859, -66272, -12280261, 3860059, 70928]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/AZ_Tucson_2011/ept.json'],1
101,CA_AlamedaCo,"[[-11770929, 4840238, 161, -11767223, 4843944, 3867]]",['2006'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_AlamedaCo_2006/ept.json'],1
102,CA_CalaverasTuolumne,"[[-13469941, 4526002, -47102, -13373915, 4622028, 48924]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_CalaverasTuolumne_2011/ept.json'],1
103,CA_ContraCostaCo,"[[-13583567, 4547199, -23828, -13535733, 4595033, 24006]]",['2007'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_ContraCostaCo_2007/ept.json'],1
104,CA_DayFire,"[[-13250846, 4083496, -22925, -13201376, 4132966, 26545]]",['2007'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_DayFire_2007/ept.json'],1
105,CA_FEMAR9Estrella,"[[-13475705, 4157536, -71, -13307393, 4325848, 168241]]",['2019'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_FEMAR9Estrella_2019/ept.json'],1
106,CA_FEMAR9PanocheSanLuis,"[[-13473346, 4348284, -28659, -13414292, 4407338, 30395]]",['2019'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_FEMAR9PanocheSanLuis_2019/ept.json'],1
107,CA_FEMA_Z1,"[[-13759579, 4848966, -128899, -13500085, 5108460, 130595]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_FEMA_Z1_2018/ept.json'],1
108,CA_FEMA_Z4_B1,"[[-13604296, 4318487, -90315, -13422432, 4500351, 91549]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_FEMA_Z4_B1_2018/ept.json'],1
109,CA_FEMA_Z4_B2,"[[-13570845, 4157019, -94782, -13379863, 4348001, 96200]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_FEMA_Z4_B2_2018/ept.json'],1
110,CA_FEMA_Z4_QL1,"[[-13458345, 4324185, -8496, -13440151, 4342379, 9698]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_FEMA_Z4_QL1_2018/ept.json'],1
111,CA_MountainPass_B1,"[[-12920531, 4137625, -81584, -12754373, 4303783, 84574]]",['2019'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_MountainPass_B1_2019/ept.json'],1
112,CA_NoCAL_Wildfires_TL_QL1,"[[-13545279, 4782892, -23296, -13497535, 4830636, 24448]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_NoCAL_Wildfires_TL_QL1_2018/ept.json'],1
113,CA_NoCAL_Wildfires_TL_QL2,"[[-13833397, 4532182, -236748, -13357535, 5008044, 239114]]",['2018'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_NoCAL_Wildfires_TL_QL2_2018/ept.json'],1
114,CA_OrangeCo,"[[-13151931, 3951836, -36020, -13079627, 4024140, 36284]]",['2011'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_OrangeCo_2011/ept.json'],1
115,CA_PlacerCo,"[[-13512406, 4649504, -76427, -13357014, 4804896, 78965]]",['2012'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_PlacerCo_2012/ept.json'],1
116,CA_SaltonSea,"[[-12930243, 3901069, -35507, -12858611, 3972701, 36125]]",['2010'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_SaltonSea_2010/ept.json'],1
117,CA_SantaClaraCounty,"[[-13609013, 4404918, -59871, -13487521, 4526410, 61621]]",['2020'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_SantaClaraCounty_2020/ept.json'],1
118,CA_Scripps-Apr,"[[-13119734, 3873880, -41696, -13036246, 3957368, 41792], [-13178950, 3837323, -80196, -13018426, 3997847, 80328]]","['2004', '2005']","['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Apr_2004/ept.json', 'https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Apr_2005/ept.json']",2
119,CA_Scripps-Dec,"[[-13121128, 3873238, -42479, -13036268, 3958098, 42381]]",['2002'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Dec_2002/ept.json'],1
120,CA_Scripps-Mar,"[[-13120307, 3873675, -42019, -13036165, 3957817, 42123], [-13181565, 3830458, -83623, -13014187, 3997836, 83755]]","['2003', '2006']","['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Mar_2003/ept.json', 'https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Mar_2006/ept.json']",2
121,CA_Scripps-May,"[[-13119610, 3873810, -42083, -13035300, 3958120, 42227]]",['2002'],['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-May_2002/ept.json'],1
122,CA_Scripps-Oct,"[[-13158204, 3830751, -74017, -13010046, 3978909, 74141], [-13180262, 3833549, -81941, -13016250, 3997561, 82071]]","['2003', '2005']","['https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Oct_2003/ept.json', 'https://usgs-lidar-public.s3.us-west-2.amazonaws.com/CA_Scripps-Oct_2005/ept.json']",2
